@name,value,#comment
armorQuality_Decap_penResist,1.08,"8% better vs AP/APC (breaks caps)"
armorQuality_Decap_shatterResist,1.0,"vanilla"

# ============================================================
# RICOCHET CURVE PARAMETERS
# ============================================================
# WT-style smooth ricochet probability.
# Probability = max(0, cos((impactAngle - ricochetAngle) * pi/180))^ricochetCosinePower
# Where impactAngle is angle between shell velocity and armor normal.

# Default for all RHA
ricochetCurve_RHA_baseAngle,60.0,"angle at which ricochet starts"
ricochetCurve_RHA_cosinePower,2.0,"sharper falloff (concentrated at 60+)"
ricochetCurve_RHA_maxChance,0.95,"max ricochet chance"
ricochetCurve_RHA_shatterAngle,85.0,"angle above which AP shatters instead"

# Cast iron (old warships, brittle)
ricochetCurve_CastIron_baseAngle,75.0,"ricochets at very high angle"
ricochetCurve_CastIron_cosinePower,3.0,"very sharp falloff"
ricochetCurve_CastIron_maxChance,0.99,"almost always ricochets"
ricochetCurve_CastIron_shatterAngle,80.0,"often shatters before ricochet"

# STS (intermediate, more modern)
ricochetCurve_STS_baseAngle,60.0,"standard angle"
ricochetCurve_STS_cosinePower,1.5,"gentler falloff"
ricochetCurve_STS_maxChance,0.9,"slightly less than RHA"
ricochetCurve_STS_shatterAngle,88.0,"rarely shatters"

# ============================================================
# SPOTTING SHELL PARAMETERS
# ============================================================
# Used by salvo correction (realistic fire control).

spottingShell_enabled,1,"0=off, 1=on"
spottingShell_firstSalvoAccuracy,0.5,"first salvo has 50% of normal accuracy"
spottingShell_correctionDecay,0.85,"each turn without spotting, correction degrades 15%"
spottingShell_correctionBoost,1.15,"each successful spot, accuracy improves 15%"
spottingShell_maxCorrectionFactor,2.0,"max accuracy boost from spotting"
spottingShell_minCorrectionFactor,0.3,"min accuracy (without spotting)"
spottingShell_spottingShellFraction,0.1,"10% of salvo is spotting shells (1 per 10)"

# ============================================================
# MULTIPLIER CASCADE CAP
# ============================================================
# Ship.HitChance has 50+ stacked multipliers. We cap the cascade.

cascadeCap_enabled,1,"0=off, 1=on"
cascadeCap_maxMultipliers,6,"only top 6 multipliers apply"
cascadeCap_minMultiplier,0.5,"no modifier below 50% effectiveness"
cascadeCap_maxMultiplier,2.0,"no modifier above 200% effectiveness"

# ============================================================
# SALVO CHANCE DISPLAY
# ============================================================

salvoDisplay_enabled,1,"0=off, 1=on"
salvoDisplay_minChance,0.001,"don't display if below 0.1% chance"
salvoDisplay_minBarWidth,100,"minimum bar width in pixels"
salvoDisplay_maxBarWidth,400,"maximum bar width in pixels"
salvoDisplay_xPosition,20,"x position on screen (pixels from left)"
salvoDisplay_yPosition,200,"y position on screen (pixels from top)"
salvoDisplay_textColor,1,0,1,1,1,1,"white text (RGBA 0-1)"

# ============================================================
# AI PERFECT AIM VISIBILITY
# ============================================================
# Display AI's true aim rating so players can see the cheat that
# EPFM patches out.

aiAimStat_enabled,1,"0=off, 1=on (log AI aim on each shot)"
aiAimStat_logEveryNShots,10,"log every Nth shot to avoid spam"
aiAimStat_penaltyOnDetection,0,"0=don't apply, 1=remove perfect aim cheat"

# ============================================================
# PLAYER AIM LEARNING CURVE
# ============================================================
# Player aim skill improves over time, replacing binary crew skill.

aimLearning_enabled,1,"0=off, 1=on"
aimLearning_perShotExperience,0.001,"XP gained per shell fired"
aimLearning_perHitExperience,0.01,"XP gained per hit (10x shot XP)"
aimLearning_perKillExperience,0.05,"XP gained per kill (50x shot XP)"
aimLearning_maxSkill,1.5,"max player aim skill (50% better than baseline)"
aimLearning_minSkill,0.5,"min player aim skill (untrained)"
aimLearning_decayPerTurn,0.005,"0.5% decay per turn (skill rust)"

# ============================================================
# ARMOR QUALITY MAP
# ============================================================
# Maps UAD armor names to quality types.
# Use this to upgrade existing armor values with quality multipliers.

armorQualityMap_default,RHA,"all unlisted armor is RHA"
armorQualityMap_steel,RHA,"UAD 'steel' maps to RHA"
armorQualityMap_cemented,CHA,"UAD 'cemented' maps to CHA"
armorQualityMap_faceHardened,FH,"UAD 'faceHardened' maps to FH"
armorQualityMap_sts,STS,"UAD 'STS' maps to STS"
armorQualityMap_krupp,KC,"UAD 'krupp' maps to KC"
armorQualityMap_stainless,SS,"UAD 'stainless' maps to SS"
armorQualityMap_decap,Decap,"UAD 'decapping' maps to Decap"
